,partida,turn_0,turn_1,turn_2,turn_3,turn_4,turn_5,turn_6,turn_7,turn_8,turn_9
0,REDSCAT2,1,1,1,1,1,1,1,1,1,1
1,REDSCAT2,15,15,15,15,15,15,15,15,15,15
