0,1,2,3
8.0,1,52.8885,31.8613
9.0,1,52.95228,31.91592
10.0,1,53.01606,31.97054
11.0,1,53.079840000000004,32.02516
12.0,1,53.143620000000006,32.07978
13.0,1,53.2074,32.1344
14.0,1,53.1905,32.2128
15.0,1,53.16349705882353,32.297729411764706
16.0,1,53.13649411764706,32.38265882352941
17.0,1,53.10949117647059,32.467588235294116
18.0,1,53.08248823529412,32.55251764705882
19.0,1,53.05548529411765,32.637447058823525
20.0,1,53.02848235294118,32.72237647058823
21.0,1,53.00147941176471,32.807305882352935
22.0,1,52.97447647058824,32.89223529411764
23.0,1,52.94747352941177,32.977164705882345
24.0,1,52.920470588235304,33.06209411764705
25.0,1,52.893467647058834,33.147023529411754
26.0,1,52.866464705882365,33.23195294117646
27.0,1,52.839461764705895,33.316882352941164
28.0,1,52.812458823529425,33.40181176470587
29.0,1,52.785455882352956,33.486741176470574
30.0,1,52.758452941176486,33.57167058823528
31.0,1,52.73145000000002,33.65659999999998
32.0,1,52.70444705882355,33.74152941176469
33.0,1,52.67744411764708,33.82645882352939
34.0,1,52.65044117647061,33.9113882352941
35.0,1,52.62343823529414,33.9963176470588
36.0,1,52.59643529411767,34.08124705882351
37.0,1,52.5694323529412,34.16617647058821
38.0,1,52.54242941176473,34.25110588235292
39.0,1,52.51542647058826,34.33603529411762
40.0,1,52.48842352941179,34.42096470588233
41.0,1,52.46142058823532,34.50589411764703
42.0,1,52.43441764705885,34.590823529411736
43.0,1,52.40741470588238,34.67575294117644
44.0,1,52.38041176470591,34.760682352941146
45.0,1,52.35340882352944,34.84561176470585
46.0,1,52.32640588235297,34.930541176470555
47.0,1,52.2994029411765,35.01547058823526
48.0,1,52.2724,35.1004
49.0,1,52.078224691358024,35.42402716049383
50.0,1,51.88404938271605,35.74765432098766
51.0,1,51.689874074074076,36.071281481481485
52.0,1,51.4956987654321,36.39490864197531
53.0,1,51.30152345679013,36.71853580246914
54.0,1,51.107348148148155,37.04216296296297
55.0,1,50.91317283950618,37.3657901234568
56.0,1,50.71899753086421,37.689417283950625
57.0,1,50.524822222222234,38.01304444444445
58.0,1,50.33064691358026,38.33667160493828
59.0,1,50.136471604938286,38.66029876543211
60.0,1,49.94229629629631,38.98392592592594
61.0,1,49.74812098765434,39.307553086419766
62.0,1,49.553945679012365,39.631180246913594
63.0,1,49.35977037037039,39.95480740740742
64.0,1,49.16559506172842,40.27843456790125
65.0,1,48.971419753086444,40.60206172839508
66.0,1,48.77724444444447,40.92568888888891
67.0,1,48.583069135802496,41.249316049382735
68.0,1,48.38889382716052,41.57294320987656
69.0,1,48.19471851851855,41.89657037037039
70.0,1,48.000543209876575,42.22019753086422
71.0,1,47.8063679012346,42.54382469135805
72.0,1,47.61219259259263,42.867451851851875
73.0,1,47.418017283950654,43.1910790123457
74.0,1,47.22384197530868,43.51470617283953
75.0,1,47.02966666666671,43.83833333333336
76.0,1,46.83549135802473,44.16196049382719
77.0,1,46.64131604938276,44.485587654321016
78.0,1,46.447140740740785,44.809214814814844
79.0,1,46.25296543209881,45.13284197530867
80.0,1,46.05879012345684,45.4564691358025
81.0,1,45.864614814814864,45.78009629629633
82.0,1,45.67043950617289,46.103723456790156
83.0,1,45.47626419753092,46.427350617283984
84.0,1,45.28208888888894,46.75097777777781
85.0,1,45.08791358024697,47.07460493827164
86.0,1,44.893738271604995,47.39823209876547
